,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",7854275,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",4985915,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,4617467,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4347142,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"What You Know Bout Love","Pop Smoke",3549935,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
6,"Lonely (with benny blanco)","Justin Bieber",3484741,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
7,Hawái,Maluma,3402503,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
8,Dynamite,BTS,3297287,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
9,"WAP (feat. Megan Thee Stallion)","Cardi B",3289902,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
10,"Blinding Lights","The Weeknd",3162633,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Holy (feat. Chance The Rapper)","Justin Bieber",2827144,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2823166,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"Watermelon Sugar","Harry Styles",2758621,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,"Head & Heart (feat. MNEK)","Joel Corry",2685056,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
15,34+35,"Ariana Grande",2598678,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
16,"Hawái - Remix",Maluma,2597129,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
17,"Relación - Remix",Sech,2550000,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
18,"you broke me first","Tate McRae",2527369,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
19,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2248969,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
20,"Put Your Records On","Ritt Momney",2202040,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
21,"La Nota","Manuel Turizo",2166415,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
22,"La Tóxica",Farruko,2150225,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
23,"Se Te Nota (with Guaynaa)","Lele Pons",2144418,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
24,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2113172,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
25,"Vida de Rico",Camilo,2088218,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
26,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1992842,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
27,"La Curiosidad","Jay Wheeler",1959592,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
28,"Levitating (feat. DaBaby)","Dua Lipa",1954431,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
29,Heather,"Conan Gray",1936778,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
30,"Una Locura",Ozuna,1908990,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
31,Jeans,"Justin Quiles",1903144,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
32,Wonder,"Shawn Mendes",1898186,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
33,"Someone You Loved","Lewis Capaldi",1873081,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
34,"Take You Dancing","Jason Derulo",1863409,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
35,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1840775,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
36,"Roses - Imanbek Remix","SAINt JHN",1827427,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
37,"Parce (feat. Justin Quiles)",Maluma,1820878,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
38,"Dance Monkey","Tones And I",1794096,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
39,"Mi Niña",Wisin,1783275,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
40,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,1775865,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK
41,"Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara)","C. Tangana",1748490,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
42,"Ay, DiOs Mío!","KAROL G",1726441,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
43,Despeinada,Ozuna,1718320,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
44,"Midnight Sky","Miley Cyrus",1714169,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
45,"Dreams - 2004 Remaster","Fleetwood Mac",1688417,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
46,"Breaking Me",Topic,1672115,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
47,"Before You Go","Lewis Capaldi",1633131,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
48,"motive (with Doja Cat)","Ariana Grande",1620100,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
49,"SO DONE","The Kid LAROI",1583126,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
50,"Tattoo - Remix with Camilo","Rauw Alejandro",1531399,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
51,"Ice Cream (with Selena Gomez)",BLACKPINK,1526472,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
52,BICHOTA,"KAROL G",1516707,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
53,Golden,"Harry Styles",1512096,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
54,"Chica Ideal","Sebastian Yatra",1495474,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
55,"Come & Go (with Marshmello)","Juice WRLD",1483940,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
56,"La Jeepeta - Remix","Nio Garcia",1428466,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
57,pov,"Ariana Grande",1428435,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
58,"POPSTAR (feat. Drake)","DJ Khaled",1424506,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
59,Sofia,Clairo,1413834,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
60,Daisy,Ashnikko,1394873,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
61,"Don't Start Now","Dua Lipa",1384423,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
62,"La Luz",Sech,1381488,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
63,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1374915,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
64,"Mi Cuarto","Jerry Di",1362119,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
65,"Blueberry Faygo","Lil Mosey",1317408,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
66,"Tyler Herro","Jack Harlow",1315722,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
67,"Lovesick Girls",BLACKPINK,1308784,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
68,"Wishing Well","Juice WRLD",1282188,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
69,"death bed (coffee for your head)",Powfu,1280113,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
70,Fever,"Dua Lipa",1264622,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
71,"How You Like That",BLACKPINK,1257900,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
72,Caramelo,Ozuna,1253993,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
73,Diamonds,"Sam Smith",1253608,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
74,"Deep End",Fousheé,1251756,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
75,goosebumps,"Travis Scott",1224370,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
76,Circles,"Post Malone",1218102,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
77,MORE,K/DA,1218066,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
78,"Rain On Me (with Ariana Grande)","Lady Gaga",1213833,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
79,Reloj,"Rauw Alejandro",1211473,https://open.spotify.com/track/7r9ZhitdQBONTFOiJW5mr8
80,"lovely (with Khalid)","Billie Eilish",1197226,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
81,"Lucid Dreams","Juice WRLD",1190742,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
82,"The Box","Roddy Ricch",1171121,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
83,Memories,"Maroon 5",1167229,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
84,"I CAN'T STOP ME",TWICE,1164821,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
85,Señorita,"Shawn Mendes",1164023,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
86,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1155304,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
87,"Train Wreck","James Arthur",1152318,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
88,"Adore You","Harry Styles",1151909,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
89,"Stuck with U (with Justin Bieber)","Ariana Grande",1149813,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
90,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1127410,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
91,"my ex's best friend (with blackbear)","Machine Gun Kelly",1126221,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
92,Robbery,"Juice WRLD",1106518,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
93,Falling,"Trevor Daniel",1096853,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
94,"Go Crazy","Chris Brown",1088880,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
95,"HIGHEST IN THE ROOM","Travis Scott",1082154,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
96,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",1076852,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
97,Tusa,"KAROL G",1055060,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
98,Shallow,"Lady Gaga",1048048,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
99,"Mad at Disney","salem ilese",1046408,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
100,"Tick Tock (feat. 24kGoldn)","Clean Bandit",1043670,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
101,"off the table (with The Weeknd)","Ariana Grande",1030377,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
